"","log2FoldChange","padj","Factor"
"ko:K01758",0.08671481582896,0.968264986735347,"Menthol_Menthol_vs_Control"
"ko:K01875",0.378744903478907,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K01881",1.06309903626559,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K01889",-0.230991930998149,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K01890",-0.349669142335173,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K01892",-0.817934991798327,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K01893",-0.516908769778757,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K01953",-0.570034916418743,0.71990649444212,"Menthol_Menthol_vs_Control"
"ko:K02105",-0.179812258689352,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02111",-2.17325640063893,0.631709156190476,"Menthol_Menthol_vs_Control"
"ko:K02112",-0.112807670912093,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02146",-0.658904977234219,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02149",-0.207669767837999,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02152",0.00210955374958842,0.998708907318586,"Menthol_Menthol_vs_Control"
"ko:K02155",-0.323028582871906,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02183",0.400482365412447,0.425967449971102,"Menthol_Menthol_vs_Control"
"ko:K02219",0.385637601393939,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02267",-0.933344875520203,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02437",0.130494056866091,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02503",-1.16079655018936,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02635",-0.0913195969115525,0.948559115760283,"Menthol_Menthol_vs_Control"
"ko:K02639",-1.59112149877435,0.90789791293508,"Menthol_Menthol_vs_Control"
"ko:K02703",0.684736889666598,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02705",0.734869545310885,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02706",-0.222965877776496,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02725",-1.17047720348368,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02726",0.234892285140261,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02728",-1.08837511679691,0.921402247845558,"Menthol_Menthol_vs_Control"
"ko:K02732",0.193709037639882,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02865",-0.301844029521478,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02866",-0.20763992617089,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02870",0.361729822081819,0.526121843461863,"Menthol_Menthol_vs_Control"
"ko:K02872",-0.820542888385677,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02873",0.433457620600509,0.945079371551781,"Menthol_Menthol_vs_Control"
